no,nama,harga,exp
211,Milo Sachet,2.000,12/26
212,Dancow Putih,5.000,3/27
213,Dancow Cokelat,5.000,3/27
214,Jetz Croissant Chocolate,4.000,7/26
215,Jetz Tortilla,4.000,9/26
216,Chiki Balls Curious Choco 16g,4.000,7/26
217,Chiki Balls Cheeky Chicken 16g,4.000,7/26
218,Tanggo Vanilla Delight 15g,"2000/1, 5000/3",11/26
219,Kental Manis Frisian Flag Cokelat,2.000,8/26
220,Kental Manis Frisian Flag Putih,2.000,9/26
221,Adem Sari,3.000,4/27
222,Twisko Roasted Corn 9g,"3000/1, 5000/2",8/26
223,Goriorio,1.000,
224,Permen Hot Hot,1.000,12/26
225,Big Babol 25g,4.000,2/27
226,Chupa Chups Big Babol,1.000,2/27
227,Jagoan Neon,1.000,
228,Kecap Sachet,1.000,2/27
229,Rinso Sachet,2.000,
230,Nosy Sampo Motor,5.000,
,molto sachet,1000,
,shampo,1000,
,charm safenight sachet ,3000,
227,Daia 1.5 Kg,30.000,
